[nb-items] 30
[nb-objectives] 5
[nb-pareto] 826
[nb-lorenz] 20
[runtime] 28.437910079956055
[format] f1 f2 f3 f4 f5 isLorenzND
[vector] 8997 10303 10134 12223 9319 False
[vector] 8835 10345 10038 11728 9263 False
[vector] 10064 9489 10954 10932 8776 False
[vector] 10286 10637 10855 11874 8381 False
[vector] 7529 9271 9556 11339 10071 False
[vector] 10607 9131 9411 11660 9627 False
[vector] 11100 10075 9438 13070 7646 False
[vector] 10184 8951 10420 11863 9378 False
[vector] 10082 9246 8052 11836 9916 False
[vector] 12091 10245 9474 11879 7736 False
[vector] 10645 9418 9081 12576 9452 False
[vector] 10634 9861 10151 12961 8306 False
[vector] 11361 11179 10148 11836 7178 False
[vector] 10157 10761 9152 12058 8542 False
[vector] 10291 10625 11340 11207 8326 False
[vector] 10553 10259 9932 11674 8878 False
[vector] 10284 9328 9792 11873 9801 False
[vector] 9580 9223 9806 11426 9998 False
[vector] 10356 10972 9955 12384 8048 False
[vector] 9910 8395 9722 11080 10038 False
[vector] 11935 10463 8591 11258 6868 False
[vector] 11304 10780 9086 12675 7650 False
[vector] 10693 8580 8603 12207 9573 False
[vector] 11991 8704 9638 11763 8416 False
[vector] 8778 9358 10171 12488 9422 False
[vector] 9652 10008 8769 13605 8605 False
[vector] 9278 8700 11028 11283 9180 False
[vector] 9219 8917 8341 11902 10233 False
[vector] 8719 8065 9769 11016 10175 False
[vector] 10430 10082 11169 11850 8207 False
[vector] 8668 8950 8901 11549 10241 False
[vector] 10808 9596 9825 12658 8917 False
[vector] 9749 10091 9034 12948 9360 False
[vector] 10333 10516 10172 12718 8840 False
[vector] 8161 9542 9088 11724 10056 False
[vector] 9935 10420 10610 11853 8809 False
[vector] 10387 8740 8617 12357 9845 False
[vector] 9721 9380 9863 11076 9728 False
[vector] 10547 11306 9826 11789 6690 False
[vector] 10306 10759 9428 12855 8044 False
[vector] 12119 10444 9398 11824 6823 False
[vector] 9849 10229 9366 12733 9594 False
[vector] 10771 10687 9979 12609 8266 False
[vector] 11463 8457 9249 11094 9611 False
[vector] 9050 8601 10040 10875 10003 False
[vector] 9982 9583 10759 11942 9287 False
[vector] 10385 9320 10695 12013 9096 False
[vector] 9696 8826 9798 11094 10014 False
[vector] 12408 10170 8638 11631 7077 False
[vector] 10117 10847 10122 12397 8505 False
[vector] 10771 10298 8206 12884 8643 False
[vector] 10530 10392 9590 13174 8302 False
[vector] 11203 8780 9575 11986 9464 False
[vector] 9643 9914 9250 13608 8842 False
[vector] 11854 10544 9412 12607 7397 False
[vector] 10540 10400 9322 13131 8521 False
[vector] 11683 9995 8682 12516 8468 False
[vector] 10314 9674 10920 11825 8270 False
[vector] 9847 10455 9231 13119 8987 False
[vector] 11230 8881 9372 11440 9432 False
[vector] 10565 10323 10046 12292 8863 False
[vector] 10056 10772 9764 12950 8558 False
[vector] 9176 9145 10066 11583 9731 False
[vector] 10910 10477 10217 12434 8392 False
[vector] 8607 8445 8754 10675 10452 False
[vector] 10942 10847 8936 12975 7572 False
[vector] 11021 10728 11255 11523 8158 False
[vector] 11843 10459 10234 12705 7784 False
[vector] 10015 10367 11145 11625 7989 False
[vector] 9901 8450 10989 11063 8985 False
[vector] 11357 10333 9812 12174 8871 False
[vector] 11672 9910 9504 12614 8855 False
[vector] 10060 9992 10711 12356 8479 False
[vector] 10714 9433 10777 12027 8911 False
[vector] 10743 9161 9997 11940 9241 False
[vector] 8489 8814 8426 11586 10401 False
[vector] 9755 11309 10174 11635 7750 False
[vector] 9995 9602 10552 12066 9547 False
[vector] 10264 8840 8613 11152 9909 False
[vector] 11841 9935 10238 11265 8318 False
[vector] 9712 10002 10067 12315 9399 False
[vector] 11019 9419 10192 11522 9578 False
[vector] 9003 9777 10832 11742 9209 False
[vector] 9822 8893 9202 11077 9940 False
[vector] 9923 9022 8327 12349 10036 False
[vector] 11306 9534 10322 11465 8708 False
[vector] 11276 10581 9162 12730 8563 False
[vector] 8714 8786 8415 12017 10091 False
[vector] 9919 10150 10693 11613 9106 False
[vector] 7552 9797 9285 11900 9750 False
[vector] 10069 10217 10740 12120 8580 False
[vector] 9480 10664 8894 13434 8622 False
[vector] 8993 10586 11011 10761 8476 False
[vector] 11777 10323 9466 12954 8000 False
[vector] 10142 10374 9706 13161 8961 False
[vector] 8766 10158 9828 12546 9317 False
[vector] 11753 10970 9878 12671 7220 False
[vector] 9817 8845 8543 13009 9518 False
[vector] 10247 8869 8591 11656 9969 False
[vector] 11899 10563 9167 11592 7005 False
[vector] 10888 10550 9284 12712 8351 False
[vector] 9171 8347 11074 10747 9153 False
[vector] 10675 10324 9900 12154 9016 False
[vector] 8881 8667 9443 11665 10271 False
[vector] 11362 10582 10310 11639 7266 False
[vector] 11471 10134 9678 12330 8361 False
[vector] 11955 9736 10104 11421 7808 False
[vector] 9249 8728 10215 11670 9874 False
[vector] 11532 8893 9657 12000 9279 False
[vector] 11992 9573 9950 11688 7634 False
[vector] 10038 9971 10057 13435 9050 False
[vector] 10228 10080 9828 12382 9279 False
[vector] 9950 9123 8124 11803 10004 False
[vector] 9723 10689 10926 11077 8308 False
[vector] 8361 9793 9812 12530 9714 False
[vector] 8983 9914 9221 11885 9787 False
[vector] 10938 10001 8600 13313 9265 False
[vector] 11042 9945 9921 12083 9257 False
[vector] 9556 10534 10940 11558 8549 False
[vector] 9158 9347 10123 12210 9856 False
[vector] 9979 8831 10130 11986 9706 False
[vector] 9557 10312 9308 13397 8439 False
[vector] 11171 9497 10655 12021 8256 False
[vector] 9688 9087 9519 11800 9831 False
[vector] 10183 9322 9868 11438 9646 False
[vector] 10014 10657 10393 12744 8852 False
[vector] 11396 9879 9910 12229 8962 False
[vector] 9722 9608 11057 11703 8573 False
[vector] 10911 8890 9799 11989 9266 False
[vector] 9074 10168 10370 11844 9466 False
[vector] 10344 10480 11227 11639 7804 False
[vector] 10009 10391 10575 12037 8970 False
[vector] 10837 9825 9631 12206 9585 False
[vector] 10542 9592 9933 13116 8407 False
[vector] 10598 9037 9892 11663 9864 False
[vector] 12215 9550 8168 11928 6686 False
[vector] 12195 9632 9365 11458 7143 False
[vector] 11753 10368 10443 11500 7717 False
[vector] 10964 11369 9322 11326 6265 False
[vector] 9177 10989 9680 12537 8395 False
[vector] 9388 10285 10235 12568 9117 False
[vector] 7946 10078 9788 12305 9496 False
[vector] 9717 10398 10317 12582 8932 False
[vector] 9196 8643 9820 11174 9906 False
[vector] 10558 11391 9004 11691 6303 False
[vector] 10320 10162 9278 13492 9196 False
[vector] 10471 10487 9788 13175 8776 False
[vector] 9024 9871 8799 11658 9739 False
[vector] 11614 10484 10484 12476 8203 False
[vector] 10133 10384 10367 12174 9113 False
[vector] 10612 9042 10050 11619 9363 False
[vector] 9656 10268 10144 12834 8486 False
[vector] 10739 10494 10490 12353 8802 False
[vector] 10269 9698 10889 11885 8417 False
[vector] 10134 9963 10676 12540 8640 False
[vector] 10900 10412 9236 12560 8436 False
[vector] 10517 9346 10589 11411 9197 False
[vector] 9540 8422 10833 11291 9686 False
[vector] 10546 8772 8288 12129 9841 False
[vector] 10031 9823 9927 12049 9587 False
[vector] 10564 9232 9214 12415 9566 False
[vector] 11358 9962 10364 12599 8603 False
[vector] 10668 8579 9978 12044 9341 False
[vector] 9720 9861 10954 11934 8781 False
[vector] 10428 8096 8712 11116 9873 False
[vector] 9726 9565 9305 12387 9681 False
[vector] 10002 9357 9859 12547 9385 False
[vector] 10944 9475 9298 12832 9155 False
[vector] 7964 9509 9637 11517 9769 False
[vector] 8256 9238 8549 11932 10222 False
[vector] 9334 9712 8288 12308 9811 False
[vector] 9312 10027 9303 11899 9602 False
[vector] 12214 8681 7856 12003 7468 False
[vector] 11896 9353 8530 12448 8039 False
[vector] 10964 10774 9869 12697 7613 False
[vector] 11514 10346 10152 12691 7969 False
[vector] 11163 10303 10033 12575 8783 False
[vector] 10536 10513 8908 13308 8360 False
[vector] 9899 8703 10886 11294 9193 False
[vector] 10189 10922 10207 12359 8446 False
[vector] 11377 9991 9029 12572 8881 False
[vector] 10600 8784 9995 11432 9656 False
[vector] 9280 9362 9098 12396 10077 False
[vector] 10931 10762 9758 13073 7959 False
[vector] 10470 9467 11272 10567 8738 False
[vector] 11142 10370 9398 13090 8457 False
[vector] 10445 10636 9336 12542 9046 False
[vector] 11201 9649 8972 13006 7823 False
[vector] 9409 9216 9286 12433 9751 False
[vector] 10508 9984 10756 12359 9009 False
[vector] 10337 9663 9913 11899 9315 False
[vector] 9219 9376 10936 11168 9073 False
[vector] 9352 9143 8137 11520 10084 False
[vector] 10728 8366 8849 11445 9834 False
[vector] 9295 8435 9972 10716 9889 False
[vector] 9908 9159 9866 11703 9674 False
[vector] 11319 10191 10201 11920 8668 False
[vector] 9204 9054 9880 11256 9871 False
[vector] 8655 8030 9388 11727 10178 False
[vector] 9389 7435 9962 10387 9848 False
[vector] 9671 8604 9898 10886 10016 False
[vector] 10658 10742 9840 12909 8494 False
[vector] 7762 8847 9433 10993 10250 False
[vector] 9525 9624 9535 12458 9688 False
[vector] 9800 9989 10198 12626 9294 False
[vector] 9703 11053 10461 12256 8371 False
[vector] 9273 9490 10288 12162 9539 False
[vector] 10840 8707 9288 11314 9806 False
[vector] 9443 9486 11096 10921 8763 False
[vector] 9733 9880 10747 12058 9041 False
[vector] 10516 11047 9734 12848 7741 False
[vector] 10278 9867 9318 13472 8385 False
[vector] 9764 8990 8656 12577 10040 False
