[nb-items] 20
[nb-objectives] 6
[nb-pareto] 472
[nb-lorenz] 9
[runtime] 2.1851799488067627
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 6132 4153 6379 6837 6378 5417 False
[vector] 5982 5320 6797 7303 5729 6266 False
[vector] 5686 5614 7950 6171 4950 5140 False
[vector] 6571 4935 6504 7785 5133 6296 False
[vector] 6534 5121 6706 7481 5369 6371 False
[vector] 6055 5236 6092 7057 5365 7161 False
[vector] 6921 5628 5495 6202 3649 7153 False
[vector] 6639 6361 6109 6540 3198 6782 False
[vector] 5366 5488 6244 6999 5730 6988 False
[vector] 5813 6384 7045 7181 4681 5288 False
[vector] 4251 4563 5693 5965 6151 6992 False
[vector] 6518 5447 6711 7514 5257 6666 False
[vector] 6665 5133 7281 6984 5376 5229 False
[vector] 6908 6308 7168 6975 4106 6869 False
[vector] 7658 5337 6691 6854 4084 5335 False
[vector] 4759 4572 6241 7086 6076 6338 False
[vector] 5913 6206 6900 7260 4786 6314 False
[vector] 6641 5806 6825 7791 5112 6612 False
[vector] 6697 6164 6643 7333 4544 5825 False
[vector] 5960 6085 6217 8104 5245 6537 False
[vector] 7568 5115 6803 7603 5018 5425 False
[vector] 7322 5154 6880 7275 5106 5560 False
[vector] 6829 5818 5506 7998 4678 6290 False
[vector] 5907 5904 6826 6592 4639 7231 False
[vector] 5192 5391 5742 8059 5127 7217 False
[vector] 5634 4684 6747 6526 6126 6582 False
[vector] 5539 5533 6872 7573 6006 5958 False
[vector] 5602 5513 7380 7054 5942 5998 False
[vector] 4869 6067 7321 6991 5414 5643 False
[vector] 5757 6082 5883 7482 4730 6834 False
[vector] 6688 6070 7124 7336 4781 6360 False
[vector] 6266 5925 6203 7954 4973 6777 False
[vector] 5992 4451 8172 5879 5045 5117 False
[vector] 6474 5756 7077 7766 5510 6138 False
[vector] 5954 6541 7102 6831 4411 5763 False
[vector] 5804 6290 7526 7184 4918 5823 False
[vector] 4614 5358 5924 7030 6094 6150 False
[vector] 5219 5514 6309 7556 5954 6029 False
[vector] 6454 5495 7334 6858 3985 6363 False
[vector] 6107 5858 7197 6905 4999 5986 False
[vector] 7110 5565 5675 7564 4851 6546 False
[vector] 6388 5889 5674 7477 4059 7507 False
[vector] 7481 4672 6117 7240 5145 6186 False
[vector] 5066 6197 6214 7482 5366 5806 False
[vector] 5567 5605 6773 7078 5511 7141 False
[vector] 6803 5604 5698 7702 4277 6632 False
[vector] 5567 4969 6594 6663 5941 6090 False
[vector] 5394 6105 5731 7759 5281 6743 False
[vector] 6611 5168 5563 7312 5258 6734 False
[vector] 4205 4795 5080 6517 5307 7523 False
[vector] 5527 5569 6486 8364 5519 6620 False
[vector] 6647 6115 7804 6561 4376 6424 False
[vector] 5652 5283 5496 8090 5201 7115 False
[vector] 6671 5047 5626 6834 5074 7109 False
[vector] 6162 5522 6554 8228 5062 6254 False
[vector] 6829 5762 6850 8155 5197 5531 False
[vector] 5406 5322 5573 7762 5289 7250 False
[vector] 6548 5876 5716 7896 4857 6462 False
[vector] 5772 5216 7892 6382 5353 4871 False
[vector] 5914 6186 6153 7425 4589 7238 False
[vector] 6288 5357 5555 7966 5590 6423 False
[vector] 6454 6025 6442 7228 3843 7341 False
[vector] 6536 6332 6414 7374 4594 6795 False
[vector] 5452 5090 6186 7210 6133 6719 False
[vector] 6080 5735 6630 7408 4172 7174 False
[vector] 6155 5679 7524 6098 4595 6552 False
[vector] 7037 5634 7060 7668 5112 6498 False
[vector] 7571 5758 7250 7142 4843 6158 False
[vector] 6156 5220 6480 7560 4915 7171 False
[vector] 6445 6364 6912 7182 4519 6225 False
[vector] 5954 5783 6143 7436 5098 7454 False
[vector] 6842 6172 6400 7224 4322 7035 False
[vector] 5193 5236 6660 7359 6032 4925 False
[vector] 5948 4732 5998 7372 5334 6973 False
[vector] 6086 6195 5965 7496 4545 6228 False
[vector] 5316 6064 7364 6491 4872 6358 False
[vector] 5385 5375 6033 7347 5948 6227 False
